datetime,generation biomass,generation hydro water reservoir,generation other renewable,generation solar,generation waste,generation wind onshore,price day ahead,price actual,temp,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,year,month,day,hour,season,total load actual
2015-01-01 0:00,447,1899,73,49,196,6378,50.1,65.41,267.325,971,63,1,309,0,0,0,0,2015,1,1,0,winter,25385
2015-01-01 1:00,449,1658,71,50,195,5890,48.1,64.92,267.325,971,63,1,309,0,0,0,0,2015,1,1,1,winter,24382
2015-01-01 2:00,448,1371,73,50,196,5461,47.33,64.48,266.186,971,64,1,273,0,0,0,0,2015,1,1,2,winter,22734
2015-01-01 3:00,438,779,75,50,191,5238,42.27,59.32,266.186,971,64,1,273,0,0,0,0,2015,1,1,3,winter,21286
2015-01-01 4:00,428,720,74,42,189,4935,38.41,56.04,266.186,971,64,1,273,0,0,0,0,2015,1,1,4,winter,20264
2015-01-01 5:00,410,743,74,34,188,4618,35.72,53.63,265.442,972,64,0,240,0,0,0,0,2015,1,1,5,winter,19905
2015-01-01 6:00,401,848,74,34,186,4397,35.13,51.73,265.442,972,64,0,240,0,0,0,0,2015,1,1,6,winter,20010
2015-01-01 7:00,408,1012,72,35,189,3992,36.22,51.43,265.442,972,64,0,240,0,0,0,0,2015,1,1,7,winter,20377
2015-01-01 8:00,413,1015,73,54,198,3629,32.4,48.98,268.276,974,66,1,329,0,0,0,0,2015,1,1,8,winter,20094
2015-01-01 9:00,419,1357,74,743,198,3073,36.6,54.2,268.276,974,66,1,329,0,0,0,0,2015,1,1,9,winter,20637
2015-01-01 10:00,422,1817,72,2019,204,2683,43.1,58.94,268.276,974,66,1,329,0,0,0,0,2015,1,1,10,winter,22250
2015-01-01 11:00,421,1516,73,3197,206,2771,45.14,59.86,281.574,974,61,1,344,0,0,0,0,2015,1,1,11,winter,23547
2015-01-01 12:00,428,1204,75,3885,209,2906,45.14,60.12,281.574,974,61,1,344,0,0,0,0,2015,1,1,12,winter,24133
2015-01-01 13:00,425,1286,74,4007,210,2923,47.35,62.05,281.574,974,61,1,344,0,0,0,0,2015,1,1,13,winter,24713
2015-01-01 14:00,423,1027,76,3973,210,2945,47.35,62.06,282.5376563,1036,47,1,15,0,0,0,0,2015,1,1,14,winter,24672
2015-01-01 15:00,421,1151,76,3818,210,2709,43.61,59.76,283.3083125,1035,45,1,24,0,0,0,0,2015,1,1,15,winter,23528
2015-01-01 16:00,422,1156,75,3088,211,2552,44.91,61.18,277.958,1036,68,1,108,0,0,0,0,2015,1,1,16,winter,23118
2015-01-01 17:00,426,1626,75,1467,208,2699,48.1,64.74,280.769,1035,58,1,92,0,0,0,0,2015,1,1,17,winter,23606
2015-01-01 18:00,427,3203,74,404,209,2764,58.02,74.26,277.459,1036,72,1,150,0,0,0,0,2015,1,1,18,winter,26447
2015-01-01 19:00,442,5333,76,139,208,2913,61.01,74.24,274.9511875,999,55,1,156,0,0,0,0,2015,1,1,19,winter,28020
2015-01-01 20:00,445,6183,74,100,210,3118,62.69,75.64,271.5075,1005,75,1,224,0,0,0,0,2015,1,1,20,winter,29014
2015-01-01 21:00,443,6231,74,75,212,3373,60.41,73.92,268.866,974,63,1,239,0,0,0,0,2015,1,1,21,winter,29571
2015-01-01 22:00,440,5359,74,74,210,3508,58.15,70.53,268.866,974,63,1,239,0,0,0,0,2015,1,1,22,winter,29031
2015-01-01 23:00,438,3511,74,56,209,3527,53.6,64.13,267.129,975,64,1,254,0,0,0,0,2015,1,1,23,winter,26798
